sp_id,gq_type,stcotrbg,persons,latitude,longitude
450000647,C,60750124021,252,37.780718,-122.415395
450000648,C,60750157004,2086,37.7755639,-122.4509765
450000649,C,60750301021,345,37.7627363,-122.4580494
450000650,C,60750332011,2152,37.721345,-122.4779048
450001497,C,60750123021,196,37.7866221,-122.4139833
450001498,C,60750124022,107,37.7792048,-122.4185159
450001499,C,60750125012,69,37.7843956,-122.4094126
450001500,C,60750129022,50,37.8014073,-122.4307946
450001501,C,60750131011,67,37.7950978,-122.4250164
450001502,C,60750131021,36,37.7915022,-122.427801
450001503,C,60750132003,25,37.793368,-122.4423298
450001504,C,60750155002,93,37.7850393,-122.4347461
450001505,C,60750165001,21,37.7748244,-122.442852
450001506,C,60750615004,135,37.7860589,-122.3913358
450001507,C,60750179021,562,37.8050104,-122.372796
450001508,C,60750301012,54,37.7646073,-122.4594173
450001509,C,60750309007,6,37.7225826,-122.4736327
450001510,C,60750607001,964,37.7732167,-122.3892954
450004024,C,60750117002,46,37.7886537,-122.4050592
450004025,C,60750119012,241,37.7899966,-122.4138183
450004026,C,60750120001,28,37.7884296,-122.4186202
450004027,C,60750121001,367,37.7885968,-122.4135346
450004028,C,60750121002,249,37.7890165,-122.4102402
450006999,P,60750180002,503,37.7752512,-122.4049805
450007000,P,60750180002,505,37.7750874,-122.4042821
450009906,P,60750228022,9,37.755735,-122.4045037
450013382,P,60750119012,1,37.7899966,-122.4138183
450013383,P,60750119012,87,37.7899966,-122.4138183
450013384,P,60750122021,27,37.7854142,-122.4196438
450013385,P,60750122021,24,37.7854142,-122.4196438
450013386,P,60750125022,170,37.7834682,-122.4125041
450013387,P,60750125022,29,37.7834682,-122.4125041
450013388,P,60750129011,4,37.8010286,-122.4270583
450013389,P,60750154005,3,37.7836877,-122.4567595
450013390,P,60750154005,5,37.7836877,-122.4567595
450013391,P,60750155002,1,37.7850393,-122.4347461
450013392,P,60750157002,11,37.7774316,-122.4440279
450013393,P,60750157002,1,37.7774316,-122.4440279
450013394,P,60750167004,15,37.7720961,-122.438054
450013395,P,60750168021,11,37.7740532,-122.4225192
450013396,P,60750168021,22,37.7740532,-122.4225192
450013397,P,60750171023,1,37.767281,-122.4508522
450013398,P,60750171023,5,37.767281,-122.4508522
450013399,P,60750177001,2,37.7671193,-122.4091364
450013400,P,60750177001,4,37.7671193,-122.4091364
450013401,P,60750178021,7,37.7776291,-122.4067242
450013402,P,60750178021,2,37.7776291,-122.4067242
450013403,P,60750180002,202,37.7727212,-122.4055949
450013404,P,60750212002,10,37.7518161,-122.4386037
450013405,P,60750228012,3,37.7590138,-122.4101982
450013406,P,60750228012,10,37.7590138,-122.4101982
450013407,P,60750228022,7,37.7569206,-122.4058942
450013408,P,60750230013,4,37.7314802,-122.4020223
450013409,P,60750612002,5,37.7363926,-122.392119
450013410,P,60750257023,1,37.7264724,-122.4080454
450013411,P,60750262003,3,37.7106526,-122.4525499
450013412,P,60750262003,6,37.7106526,-122.4525499
450013413,P,60750264022,9,37.7160064,-122.4007431
450013414,P,60750264022,1,37.7160064,-122.4007431
450013415,P,60750301021,5,37.7599456,-122.4573289
450013416,P,60750305003,100,37.7494546,-122.4554213
450013417,P,60750305003,18,37.7494546,-122.4554213
450013418,P,60750309002,1,37.7292859,-122.4648158
450013419,P,60750312011,1,37.7214484,-122.4519702
450013420,P,60750312011,4,37.7214484,-122.4519702
450013421,P,60750312013,6,37.7233732,-122.4608017
450013422,P,60750312013,30,37.7233732,-122.4608017
450013423,P,60750330003,16,37.7370059,-122.4825368
450013424,P,60750330003,15,37.7370059,-122.4825368
450013425,P,60750352014,5,37.7576267,-122.5057621
450013426,P,60750478013,8,37.7769986,-122.49096
450013427,P,60750478013,1,37.7769986,-122.49096
450025586,N,60750134002,44,37.7875023,-122.445332
450025587,N,60750155001,10,37.7859238,-122.4269012
450025588,N,60750155001,10,37.7870549,-122.4254953
450025589,N,60750155001,10,37.7870129,-122.4258213
450025590,N,60750159001,27,37.7851878,-122.4262871
450025591,N,60750165004,17,37.7737212,-122.4543864
450025592,N,60750227022,46,37.7622787,-122.3934459
450025593,N,60750228013,3,37.758266,-122.4156665
450025594,N,60750228031,31,37.7549488,-122.4164339
450025595,N,60750255004,5,37.7253268,-122.4364299
450025596,N,60750263031,49,37.7097516,-122.4498094
450025597,N,60750326021,6,37.762409,-122.4857554
450025598,N,60750479011,4,37.7771821,-122.4995413
450025599,N,60750479011,4,37.7772569,-122.4995457
450032793,N,60750111003,5,37.789872,-122.418044
450032794,N,60750129022,24,37.8023496,-122.4314918
450032795,N,60750151001,33,37.7892358,-122.4230648
450032796,N,60750152002,89,37.788288,-122.4306702
450032797,N,60750153002,61,37.786029,-122.440924
450032798,N,60750155001,10,37.7860754,-122.4256691
450032799,N,60750159001,26,37.782852,-122.4282465
450032800,N,60750164001,31,37.7750229,-122.4368762
450032801,N,60750164002,81,37.7755006,-122.4408189
450032802,N,60750228013,2,37.757658,-122.4156095
450032803,N,60750253004,36,37.7460426,-122.4206617
450032804,N,60750260021,391,37.728688,-122.4312431
450032805,N,60750303012,56,37.7589775,-122.463825
450032806,N,60750329013,10,37.7446947,-122.4908699
450032807,N,60750330004,4,37.7347538,-122.4902176
450037548,N,60750164002,78,37.7738736,-122.4408694
450037549,N,60750228022,244,37.7566813,-122.4065681
450038118,N,60750159001,25,37.7827576,-122.427532
450038119,N,60750228013,1,37.757786,-122.4156215
450038120,N,60750330004,3,37.7351431,-122.4841412
450039142,N,60750133003,67,37.7880135,-122.448014
450039143,N,60750155001,6,37.7865483,-122.4295774
450039144,N,60750326021,5,37.7642974,-122.4847508
450039145,N,60750330004,2,37.734858,-122.485083
450039146,N,60750401001,80,37.7867696,-122.4624814
450040155,N,60750153002,60,37.7870753,-122.4403176
450040156,N,60750253004,34,37.748066,-122.420529
450040157,N,60750452004,6,37.777327,-122.4704076
450043935,N,60750263013,5,37.7120876,-122.4403679
450043936,N,60750263032,6,37.7096436,-122.4397809
450043937,N,60750264032,42,37.7128163,-122.4049286
450043938,N,60750305003,86,37.7494546,-122.4554213
450043939,N,60750308004,42,37.7371075,-122.4730605
450043940,N,60750312013,6,37.7233732,-122.4608017
450043941,N,60750328011,140,37.747642,-122.4776279
450043942,N,60750331002,10,37.7327849,-122.4827765
450043943,N,60750479014,3,37.7726954,-122.5019299
450043944,N,60759802001,191,37.7844843,-122.5014078
450047657,N,60750305003,86,37.7494546,-122.4554213
450047658,N,60750305003,86,37.7494546,-122.4554213
450047659,N,60750305003,86,37.7494546,-122.4554213
450047660,N,60750305003,86,37.7494546,-122.4554213
450047661,N,60750305003,86,37.7494546,-122.4554213
450047662,N,60750305003,86,37.7494546,-122.4554213
450047663,N,60750305003,86,37.7494546,-122.4554213
450047664,N,60750305003,73,37.7494546,-122.4554213
