sp_id,sp_gq_id,age,sex
940550342,450032793,96,M
940331205,450032793,64,M
940331207,450032793,54,M
940331206,450032793,43,M
940550341,450032793,73,M
936681674,450004024,18,M
936681673,450004024,18,M
936681669,450004024,19,M
936681668,450004024,20,M
936681667,450004024,19,M
936681685,450004024,19,M
936681686,450004024,20,M
936681693,450004024,18,F
936681687,450004024,29,M
936681691,450004024,23,M
936681692,450004024,18,F
936681689,450004024,18,M
936681690,450004024,21,M
936681688,450004024,18,M
936681708,450004024,20,F
936681672,450004024,23,M
936681707,450004024,20,F
936681706,450004024,19,F
936681705,450004024,19,F
936681704,450004024,18,F
936681703,450004024,19,F
936681702,450004024,19,F
936681671,450004024,21,M
936681670,450004024,24,M
936681701,450004024,25,F
936681700,450004024,19,F
936681699,450004024,19,F
936681698,450004024,19,F
936681697,450004024,19,F
936681696,450004024,19,F
936681695,450004024,18,F
936681694,450004024,19,F
936681680,450004024,21,M
936681679,450004024,18,M
936681683,450004024,18,M
936681684,450004024,18,M
936681678,450004024,18,M
936681681,450004024,22,M
936681682,450004024,19,M
936681712,450004024,20,F
936681710,450004024,21,F
936681711,450004024,22,F
936681709,450004024,22,F
936681677,450004024,23,M
936681676,450004024,19,M
936681675,450004024,20,M
936680708,450004025,19,M
936680720,450004025,19,M
936680719,450004025,19,M
936680718,450004025,18,M
936680717,450004025,19,M
936680596,450004025,18,M
936680597,450004025,21,M
936680598,450004025,21,M
936680599,450004025,22,M
936680600,450004025,23,M
936680601,450004025,20,M
936680602,450004025,22,M
936680603,450004025,21,M
936680604,450004025,22,M
936680605,450004025,21,M
936680626,450004025,19,M
936680627,450004025,23,M
936680628,450004025,21,M
936680629,450004025,19,M
936680630,450004025,20,M
936680631,450004025,19,M
936680632,450004025,18,M
936680633,450004025,23,M
936680634,450004025,22,M
936680635,450004025,21,M
936680636,450004025,18,M
936680637,450004025,19,M
936680638,450004025,21,M
936680639,450004025,19,M
936680640,450004025,22,M
936680641,450004025,24,M
936680642,450004025,19,M
936680643,450004025,18,M
936680644,450004025,20,M
936680606,450004025,19,M
936680607,450004025,22,M
936680608,450004025,20,M
936680609,450004025,19,M
936680610,450004025,19,M
936680611,450004025,19,M
936680612,450004025,23,M
936680613,450004025,21,M
936680614,450004025,23,M
936680615,450004025,18,M
936680616,450004025,23,M
936680617,450004025,26,M
936680618,450004025,18,M
936680619,450004025,19,M
936680620,450004025,18,M
936680621,450004025,21,M
936680622,450004025,22,M
936680623,450004025,19,M
936680624,450004025,22,M
936680625,450004025,23,M
936680645,450004025,20,M
936680709,450004025,19,M
936680710,450004025,19,M
936680711,450004025,22,M
936680712,450004025,19,M
936680713,450004025,19,M
936680714,450004025,20,M
936680715,450004025,18,M
936680744,450004025,19,M
936680745,450004025,18,M
936680746,450004025,19,M
936680747,450004025,20,M
936680748,450004025,24,M
936680749,450004025,20,M
936680750,450004025,18,M
936680751,450004025,19,M
936680752,450004025,20,M
936680646,450004025,18,M
936680647,450004025,19,M
936680648,450004025,20,M
936680649,450004025,18,M
936680753,450004025,19,M
936680829,450004025,21,F
936680828,450004025,19,F
936680827,450004025,19,F
936680826,450004025,18,F
936680825,450004025,18,F
936680824,450004025,21,F
936680823,450004025,24,F
936680822,450004025,22,F
936680821,450004025,23,F
936680820,450004025,19,F
936680819,450004025,19,F
936680818,450004025,19,F
936680817,450004025,19,F
