sp_id,latitude,longitude
502347602,37.7576351,-122.4193678
502255422,37.4747851,-122.1840779
502481824,38.010345,-122.0355678
502278228,37.5658681,-122.3255038
502308481,37.7381151,-122.4882378
502329959,37.7994351,-122.4413478
502254384,37.4442381,-122.1705489
502251387,37.4606651,-122.1550179
502354457,37.7959601,-122.4111058
502267767,37.5137051,-122.2607178
502351032,37.7971251,-122.4145678
502266497,37.4706251,-122.2562078
502310052,37.8604351,-122.4880978
502166196,37.447871,-121.8873949
502334423,37.7265051,-122.4337678
502312736,37.7799551,-122.4806678
502338422,37.7769251,-122.4290478
502315753,37.7834751,-122.4738278
502351187,37.7830301,-122.4141448
502254236,37.4580561,-122.1770579
502430813,37.794505,-122.2192278
502351344,37.6497351,-122.4142518
502318005,37.7297351,-122.4693378
502264535,37.4670351,-122.2494478
502418548,37.761885,-122.2540678
502331207,37.7721551,-122.4372038
502274845,37.5531051,-122.3014878
502349984,37.8077551,-122.4171178
502361821,37.7719951,-122.4052478
502323782,37.7871951,-122.4565378
502356994,37.7710151,-122.4090778
502471001,37.898115,-122.0639878
502438342,37.71402,-122.1856858
502251203,37.4482421,-122.1572579
502383146,37.6653451,-122.3837678
502285609,38.124705,-122.5829177
502337314,37.7206751,-122.4306078
502356223,37.7836521,-122.4085538
502252495,37.4454351,-122.1603079
501421134,34.4341652,-119.7702685
502273202,37.5103301,-122.2935968
502371418,37.7915551,-122.3999478
502364412,37.7754051,-122.4043478
502229948,37.3717251,-122.0332879
502331720,37.7842351,-122.4392378
502274207,37.5533081,-122.3020778
502313414,37.6115551,-122.4772578
502326424,37.7116851,-122.4490378
502380808,37.7803451,-122.3905778
502326079,37.7331551,-122.4520378
502421910,37.838765,-122.2510278
502369196,37.7923461,-122.4008178
502357881,37.7451451,-122.4093578
502739814,38.432355,-122.7523177
502378033,37.7372651,-122.3955578
502361034,37.7144051,-122.4062878
502326691,37.7874451,-122.4507778
502372384,37.7952221,-122.3991268
502360134,37.7938451,-122.4064678
502366387,37.7910931,-122.4018428
502363624,37.7399881,-122.4036968
502382869,37.7388351,-122.3875378
502696355,38.391135,-121.9396778
502329709,37.7916151,-122.4401778
502509546,37.724285,-121.8659879
502376990,37.7955251,-122.3962178
502395449,37.879599,-122.2990338
502413946,37.807145,-122.2653878
502347367,37.7995351,-122.4183778
502423454,37.845825,-122.2451868
502330969,37.7998251,-122.4407678
502374823,37.7982451,-122.3991578
502339317,37.6449301,-122.4269618
502336053,37.7376851,-122.4335478
502383066,37.7406551,-122.3871378
502344115,37.7640051,-122.4214878
502346815,37.6369151,-122.4190078
502412369,37.8083958,-122.2658268
502325317,37.6662711,-122.4509838
502474471,37.892805,-122.0567368
502293537,38.073695,-122.5369977
502321048,37.7419351,-122.4637378
502186736,37.3043451,-121.9316409
502354811,37.7883951,-122.4097378
502453331,37.627435,-122.1205998
502255118,37.4330051,-122.1757779
502458680,37.631375,-122.0964579
502366014,37.7970351,-122.4038478
502366059,37.7965451,-122.4036378
502252108,37.4331651,-122.1523179
502357604,37.7894251,-122.4077678
502274087,37.5368951,-122.2957678
502267330,37.5222271,-122.2602138
502280575,37.5650151,-122.3713378
502337996,37.7956051,-122.4310578
502658114,38.5878449,-121.4195078
502343749,37.7941651,-122.4226478
502346703,37.6293151,-122.4186978
505403338,33.8203975,-84.1868729
502352689,37.7397551,-122.4140378
502437952,37.889075,-122.1916278
502320227,37.7830961,-122.4621988
